,stop_lat,stop_lon,members,stop_id
52,-34.626993,-58.457528,"[np.float64(2031910.0), np.float64(203143.0), np.float64(203140.0), np.float64(207066.0), np.float64(203145.0), np.float64(2032032.0), np.float64(203146.0), np.float64(203142.0), np.float64(203144.0), np.float64(205717.0)]",
53,-34.51682,-58.74669,"[np.float64(6412106069.0), np.float64(6412106070.0), np.float64(6412106414.0), np.float64(6412105602.0), np.float64(6412105603.0), np.float64(6412107875.0), np.float64(6412102523.0), np.float64(6412128235.0), np.float64(6412101820.0), np.float64(6412104863.0), np.float64(6412124098.0)]",
54,-34.687337,-58.52178,"[np.float64(6427106230.0), np.float64(6427106232.0), np.float64(6427106233.0), np.float64(6427106231.0), np.float64(6427108933.0), np.float64(6427108932.0), np.float64(6427121713.0), np.float64(6427111317.0)]",
55,-34.582717,-58.45237,"[np.float64(201088.0), np.float64(207481.0), np.float64(201089.0), np.float64(201084.0), np.float64(201085.0), np.float64(201105.0), np.float64(201104.0), np.float64(207489.0)]",
56,-34.639155,-58.516767,"[np.float64(207715.0), np.float64(207714.0), np.float64(2033068.0), np.float64(2033293.0), np.float64(2031911.0), np.float64(2032088.0), np.float64(2032104.0), np.float64(2033086.0), np.float64(2031909.0)]",
57,-34.721765,-58.362065,"[np.float64(6434111298.0), np.float64(6434111297.0), np.float64(6434116606.0), np.float64(6434104197.0), np.float64(6434104196.0), np.float64(6434122540.0), np.float64(6434130934.0)]",
58,-34.539025,-58.716402,"[np.float64(6760105106.0), np.float64(6760105107.0), np.float64(6760106395.0), np.float64(6760106394.0), np.float64(6760104728.0), np.float64(6760105023.0)]",
59,-34.581877,-58.411957,"[np.float64(202952.0), np.float64(2033149.0), np.float64(202895.0), np.float64(202954.0), np.float64(202951.0), np.float64(2032079.0), np.float64(202957.0)]",
60,-34.730733,-58.26537,"[np.float64(6658102735.0), np.float64(6658102734.0), np.float64(6658106696.0), np.float64(6658106695.0), np.float64(6658107726.0), np.float64(6658107725.0), np.float64(6658130911.0), np.float64(6658100253.0), np.float64(6658100254.0)]",
61,-34.803033,-58.221485,"[np.float64(691106292.0), np.float64(691106293.0), np.float64(691131715.0), np.float64(691131714.0), np.float64(691101395.0), np.float64(691101394.0), np.float64(691102186.0), np.float64(691102185.0), np.float64(691120360.0)]",
62,-34.598207,-58.369532,"[np.float64(20681.0), np.float64(20682.0), np.float64(20685.0), np.float64(2031903.0), np.float64(206536.0), np.float64(20680.0)]",
63,-34.720952,-58.57021,"[np.float64(6427103000.0), np.float64(6427103002.0), np.float64(6427103001.0), np.float64(6427102756.0), np.float64(6427102757.0), np.float64(6427104050.0), np.float64(6427104051.0)]",
64,-34.790028,-58.41691,"[np.float64(6490128462.0), np.float64(6490128461.0), np.float64(6490101704.0), np.float64(6490113212.0), np.float64(6490116531.0), np.float64(6490116530.0)]",
65,-34.730515,-58.329272,"[np.float64(6658115295.0), np.float64(6658115297.0), np.float64(6658115296.0), np.float64(6658120061.0), np.float64(6658120060.0), np.float64(6658125127.0)]",
66,-34.91582,-57.94836,"[np.float64(6441102649.0), np.float64(6441102647.0), np.float64(6441102648.0), np.float64(6441103512.0), np.float64(6441103511.0), np.float64(6441109833.0), np.float64(6441109834.0), np.float64(6441116398.0), np.float64(6441116399.0)]",
67,-34.617145,-58.437022,"[np.float64(202096.0), np.float64(202101.0), np.float64(2032199.0), np.float64(202097.0), np.float64(205709.0), np.float64(205710.0), np.float64(202100.0), np.float64(202098.0), np.float64(202094.0)]",
68,-34.903818,-57.950965,"[np.float64(6441101999.0), np.float64(6441102000.0), np.float64(6441105254.0), np.float64(6441123400.0), np.float64(6441119591.0), np.float64(6441122494.0)]",
69,-34.605472,-58.439027,"[np.float64(205978.0), np.float64(201709.0), np.float64(201938.0), np.float64(201699.0), np.float64(201702.0), np.float64(201710.0)]",
70,-34.742423,-58.69392,"[np.float64(6539103256.0), np.float64(6539103255.0), np.float64(6539130095.0), np.float64(6539108671.0), np.float64(6539122824.0), np.float64(6539119589.0), np.float64(6539119588.0)]",
71,-34.597498,-58.4038,"[np.float64(206785.0), np.float64(206784.0), np.float64(203310.0), np.float64(203305.0), np.float64(203304.0), np.float64(203309.0), np.float64(203306.0), np.float64(203307.0), np.float64(205895.0)]",
72,-34.625378,-58.453345,"[np.float64(20885.0), np.float64(20887.0), np.float64(20868.0), np.float64(20869.0), np.float64(20867.0), np.float64(20884.0), np.float64(207075.0), np.float64(20882.0), np.float64(20870.0), np.float64(20891.0)]",
73,-34.657485,-58.675125,"[np.float64(6410125542.0), np.float64(6410125541.0), np.float64(6410112894.0), np.float64(6410112893.0), np.float64(6410102754.0), np.float64(6410113881.0), np.float64(6410113882.0), np.float64(6410107654.0), np.float64(6410107655.0)]",
74,-34.631102,-58.382657,"[np.float64(206757.0), np.float64(207741.0), np.float64(2031258.0), np.float64(20155.0), np.float64(2032682.0), np.float64(205466.0)]",
75,-34.74066,-58.458298,"[np.float64(6490110579.0), np.float64(6490110578.0), np.float64(6490115922.0), np.float64(6490115923.0), np.float64(6490133514.0), np.float64(6490126293.0), np.float64(6490117151.0), np.float64(6490117152.0), np.float64(6490114752.0), np.float64(6490114751.0)]",
76,-34.694725,-58.4665,"[np.float64(205208.0), np.float64(2031432.0), np.float64(2031376.0), np.float64(205209.0), np.float64(2032186.0), np.float64(207720.0)]",
77,-34.601593,-58.40473,"[np.float64(2031275.0), np.float64(204498.0), np.float64(204388.0), np.float64(204499.0), np.float64(2031781.0), np.float64(204497.0), np.float64(204387.0), np.float64(205918.0), np.float64(204386.0)]",
78,-34.538298,-58.476103,"[np.float64(6861101878.0), np.float64(6861101877.0), np.float64(6861101876.0), np.float64(6861102885.0), np.float64(6861102884.0), np.float64(6861122760.0), np.float64(6861129621.0), np.float64(206553.0), np.float64(20121.0), np.float64(2097.0), np.float64(206554.0), np.float64(20119.0), np.float64(2099.0), np.float64(2096.0), np.float64(206555.0)]",
79,-34.6301,-58.378735,"[np.float64(207428.0), np.float64(207430.0), np.float64(207427.0), np.float64(207431.0), np.float64(207433.0)]",
80,-34.5857,-58.460523,"[np.float64(202675.0), np.float64(202673.0), np.float64(202672.0), np.float64(207939.0), np.float64(202676.0)]",
81,-34.638995,-58.524593,"[np.float64(2031908.0), np.float64(204872.0), np.float64(2032102.0), np.float64(206576.0), np.float64(206578.0), np.float64(204895.0), np.float64(206577.0)]",
